TrajectoryID,x,y,z
19,0.3406395,1.607695,-0.3368458
19,0.3400425,1.586473,-0.3192454
19,0.3419634,1.549563,-0.2982575
19,0.3473086,1.540127,-0.2888785
19,0.3486547,1.539775,-0.2879338
19,0.3497967,1.539403,-0.2877796
19,0.3505176,1.538996,-0.2881114
19,0.3506201,1.538814,-0.2883688
19,0.3507039,1.538557,-0.288489
19,0.3499061,1.536919,-0.2891207
19,0.3485103,1.536223,-0.2904254
19,0.3453208,1.537002,-0.2929277
19,0.3447086,1.53698,-0.2933369
19,0.3446234,1.537054,-0.2934881
19,0.3443673,1.537428,-0.2936755
19,0.3445678,1.537538,-0.2935738
19,0.3447812,1.537761,-0.2930006
19,0.3471291,1.535616,-0.2883759
19,0.3500775,1.53257,-0.2828834
19,0.3529972,1.52948,-0.2791362
19,0.3569631,1.527243,-0.2779514
19,0.3580055,1.526314,-0.2778949
19,0.3584864,1.525329,-0.2775307
19,0.3585561,1.524819,-0.2769591
19,0.3483154,1.522997,-0.2553151
19,0.3194931,1.509897,-0.2013938
19,0.2714983,1.500371,-0.1277802
19,0.2203022,1.498746,-0.04425225
19,0.1858305,1.494499,0.01834577
19,0.1718628,1.496104,0.05509704
19,0.1648361,1.492423,0.08554506
19,0.1702178,1.492119,0.1106995
19,0.1855721,1.490994,0.1294266
19,0.197889,1.491086,0.1401418
19,0.2040909,1.489951,0.1483064
19,0.2053692,1.489862,0.1504148
19,0.2079524,1.489719,0.1521127
19,0.2183362,1.489816,0.1533958
19,0.2346746,1.49189,0.1555296
19,0.2509538,1.495285,0.1582378
19,0.2656973,1.494822,0.1606445
19,0.2768568,1.491048,0.1652046
19,0.2862087,1.490096,0.1642949
19,0.2995784,1.488636,0.1594859
19,0.312882,1.486986,0.1563728
19,0.3228522,1.485421,0.1552666
19,0.3272032,1.48428,0.1558775
19,0.3323252,1.483675,0.1572195
19,0.3384994,1.483179,0.1590762
19,0.3452157,1.4829,0.1607676
19,0.3532184,1.482527,0.1614131
19,0.3594474,1.483,0.1607524
19,0.3651151,1.484159,0.1598177
19,0.3703506,1.485183,0.1587403
19,0.374889,1.485723,0.1573147
19,0.3782101,1.486336,0.1558854
19,0.3809586,1.487173,0.1544961
19,0.3828274,1.487747,0.1536407
19,0.3844307,1.487938,0.1534826
19,0.3848569,1.487863,0.1536253
19,0.3852099,1.487917,0.1539383
19,0.3853759,1.487802,0.1539101
19,0.3855513,1.487737,0.1536584
19,0.3856001,1.48799,0.1535161
19,0.3854909,1.488114,0.1531826
