TrajectoryID,x,y,z
5,-0.07299341,1.610091,-0.3122935
5,-0.06819648,1.610447,-0.3117208
5,-0.06603314,1.609469,-0.3099946
5,-0.07018485,1.603989,-0.2978197
5,-0.08213712,1.592655,-0.2827846
5,-0.09505641,1.585784,-0.2676482
5,-0.1103797,1.525491,-0.2315901
5,-0.1142589,1.524598,-0.2276766
5,-0.1247867,1.524531,-0.2248476
5,-0.1346011,1.520048,-0.2252802
5,-0.1344508,1.519626,-0.2252364
5,-0.09923103,1.521356,-0.2233439
5,-0.089134,1.52179,-0.2214575
5,-0.08333609,1.522467,-0.2173425
5,-0.07996916,1.525377,-0.2141246
5,-0.062633,1.531389,-0.2197149
5,-0.01416913,1.540069,-0.2766001
5,-0.01382616,1.540913,-0.2790542
5,-0.04230531,1.598589,-0.2927923
5,-0.07757515,1.616996,-0.3188976
5,-0.08948603,1.616654,-0.3167553
5,-0.09550942,1.617332,-0.3124723
5,-0.09655043,1.616904,-0.310041
5,-0.08294079,1.600583,-0.2848337
5,-0.05966774,1.578679,-0.2707776
5,-0.02447267,1.541785,-0.2749692
5,-0.02285053,1.541542,-0.2746985
5,-0.01203667,1.535488,-0.2547136
5,-0.01205451,1.531847,-0.2341239
5,-0.01272369,1.531244,-0.2341852
5,-0.01336247,1.529079,-0.2383597
5,-0.005760379,1.529937,-0.2658621
5,0.06672728,1.519122,-0.2982485
5,0.08004352,1.510137,-0.3071476
5,0.0810077,1.503515,-0.3095903
5,0.07878477,1.494498,-0.3104029
5,0.07482997,1.489109,-0.3088385
5,0.07256167,1.487711,-0.3069006
5,0.05763383,1.477929,-0.2737175
5,0.05059813,1.477182,-0.2650623
5,0.04700135,1.480131,-0.2569709
5,0.05872323,1.498562,-0.2157794
5,0.0595369,1.498836,-0.215442
5,0.05990852,1.49925,-0.2157015
5,0.06003597,1.499565,-0.2163676
5,0.05751929,1.501297,-0.2196932
5,0.05573839,1.507572,-0.2238732
5,0.05831141,1.510468,-0.2253542
5,0.1668785,1.492552,-0.2767206
5,0.1806501,1.491484,-0.2850299
5,0.1807229,1.492886,-0.2850207
5,0.1800872,1.49513,-0.283894
5,0.1773992,1.491469,-0.2486456
5,0.1690132,1.487443,-0.2010585
5,0.1652456,1.487682,-0.1992748
5,0.1554368,1.490557,-0.200602
5,0.1434343,1.491227,-0.2181103
5,0.1434584,1.493082,-0.2261016
5,0.1518979,1.489167,-0.2619162
5,0.1536526,1.488936,-0.2669135
5,0.1538092,1.488293,-0.2679876
5,0.1537355,1.488225,-0.2679692
5,0.1519472,1.491173,-0.2624245
5,0.1268927,1.580325,-0.2282797
5,0.06872957,1.615983,-0.2475789
5,0.06577139,1.619734,-0.2555307
5,0.06844192,1.623509,-0.2622315
5,0.07204852,1.623583,-0.2623594
5,0.07290708,1.623448,-0.2618532
5,0.07329194,1.6235,-0.2618659
5,0.07359772,1.623614,-0.2616057
5,0.07412356,1.623851,-0.2614965
5,0.07422287,1.623959,-0.2612962
5,0.07441574,1.624015,-0.2611539
5,0.07445931,1.624056,-0.260902
5,0.07463667,1.62416,-0.2608353
5,0.07492136,1.62439,-0.2598729
5,0.07508021,1.624557,-0.2597358
5,0.07509176,1.624638,-0.2594563
5,0.07541496,1.624901,-0.2594732
5,0.07545043,1.624848,-0.2591697
5,0.07562926,1.62496,-0.2589399
5,0.07467433,1.623631,-0.2543314
5,0.1019881,1.598037,-0.2325185
5,0.1290467,1.571041,-0.2275407
5,0.1533915,1.516766,-0.2325142
5,0.1755005,1.49125,-0.1673516
5,0.1818551,1.490855,-0.1561489
5,0.186261,1.490885,-0.1542572
5,0.1897097,1.491093,-0.154638
5,0.1951374,1.492082,-0.1598903
5,0.1951624,1.492135,-0.1598441
5,0.1954126,1.492584,-0.1600129
5,0.1940382,1.493487,-0.1624538
5,0.1904589,1.493514,-0.1668934
5,0.1724289,1.495398,-0.2029336
5,0.1408761,1.498283,-0.2413847
5,0.1389474,1.500253,-0.2492167
5,0.1396814,1.500427,-0.2517903
5,0.1411258,1.499584,-0.2527669
5,0.1418793,1.499261,-0.2527389
5,0.1425509,1.498863,-0.2522894
5,0.1433686,1.500411,-0.249672
5,0.1420831,1.502248,-0.2159763
5,0.1463499,1.502948,-0.2065777
5,0.1494719,1.504486,-0.2069838
5,0.1600455,1.504128,-0.2168682
5,0.1600668,1.504331,-0.2172651
5,0.1594374,1.505016,-0.2182937
5,0.1585933,1.505201,-0.2190668
5,0.1582514,1.505243,-0.2194551
5,0.1577687,1.50436,-0.2209244
5,0.1578945,1.504205,-0.2210693
5,0.1587757,1.5038,-0.2213862
5,0.1609276,1.503611,-0.2205644
5,0.1629694,1.502855,-0.2205794
5,0.164446,1.502675,-0.2196869
5,0.1649212,1.502836,-0.2195996
5,0.1649772,1.502809,-0.2197724
5,0.1646934,1.502571,-0.2206127
5,0.1648989,1.502471,-0.2223781
5,0.1644405,1.502354,-0.2236641
5,0.1645348,1.502642,-0.2241431
5,0.1660783,1.504016,-0.2249123
5,0.1670331,1.504464,-0.2244646
5,0.1687609,1.505194,-0.2202225
5,0.1638397,1.502383,-0.2258773
5,0.1571495,1.49845,-0.2327443
5,0.1559564,1.498111,-0.2328701
5,0.1555361,1.49833,-0.2327641
5,0.1540205,1.502596,-0.2305659
5,0.1534093,1.503235,-0.2307193
5,0.1522842,1.504091,-0.232021
5,0.1522705,1.504532,-0.2323331
5,0.149442,1.506087,-0.2347251
5,0.1487529,1.506338,-0.2345774
5,0.1471809,1.506025,-0.2331097
5,0.1444396,1.505752,-0.2332416
5,0.1414015,1.506896,-0.233149
5,0.1351395,1.507843,-0.227921
5,0.13318,1.508329,-0.2274554
5,0.1329266,1.508297,-0.2275239
5,0.1324477,1.507935,-0.2275789
5,0.1318956,1.50693,-0.2293107
5,0.131889,1.506923,-0.2295304
5,0.1318764,1.506799,-0.22976
5,0.1323986,1.506735,-0.2305015
5,0.1328627,1.506806,-0.2306772
5,0.1335462,1.50691,-0.2306193
5,0.1339385,1.506932,-0.2308467
5,0.1350132,1.504826,-0.2365256
5,0.1349808,1.504562,-0.2369331
5,0.1351594,1.504336,-0.2372738
5,0.1360722,1.504215,-0.2383918
5,0.1359835,1.503417,-0.2412949
5,0.1348991,1.503286,-0.2423085
5,0.1287309,1.502211,-0.2431723
5,0.1281977,1.501554,-0.2439274
5,0.1267859,1.501214,-0.2448479
5,0.1263858,1.501177,-0.244815
5,0.1254626,1.501635,-0.2452455
5,0.1251273,1.501927,-0.24568
5,0.1250938,1.502108,-0.2458831
5,0.1250178,1.502085,-0.2462798
5,0.1246321,1.501602,-0.2467324
5,0.1237374,1.501914,-0.2499692
5,0.1212076,1.492442,-0.3059084
5,0.1287133,1.491685,-0.3133413
5,0.1272742,1.491256,-0.3354189
5,0.1281738,1.494491,-0.3372298
5,0.1382947,1.522148,-0.3299724
5,0.1341643,1.563751,-0.3045876
5,0.09012616,1.605059,-0.2709488
5,0.06872564,1.618656,-0.2727148
5,0.06471088,1.620295,-0.2746676
5,0.06440645,1.620155,-0.2751693
5,0.06442309,1.62049,-0.2775423
5,0.06722959,1.620828,-0.2825963
5,0.069669,1.620121,-0.2853068
5,0.0932866,1.601496,-0.274855
5,0.1214193,1.579444,-0.2749211
5,0.144578,1.522192,-0.3185768
5,0.1432313,1.510657,-0.3235653
5,0.1434447,1.504874,-0.322525
5,0.1439185,1.500517,-0.3248144
5,0.1453964,1.48859,-0.3466491
5,0.1479384,1.483353,-0.3535804
5,0.1571159,1.479334,-0.3595943
5,0.1653278,1.474253,-0.3663185
5,0.1658158,1.472928,-0.3673895
5,0.1601419,1.469003,-0.3792174
5,0.156704,1.46613,-0.3888246
5,0.156323,1.465077,-0.3904486
5,0.1564475,1.465105,-0.3910653
5,0.1565769,1.465061,-0.391245
5,0.1570206,1.464933,-0.3910542
5,0.157051,1.46484,-0.3910387
5,0.1602602,1.465291,-0.3893313
5,0.1615241,1.465198,-0.3893812
5,0.1631775,1.464362,-0.3901787
5,0.1640528,1.464588,-0.390752
5,0.1644265,1.464658,-0.3914692
5,0.1645513,1.464957,-0.3918003
5,0.1654065,1.466382,-0.3917404
5,0.1665266,1.466849,-0.3906077
5,0.1721703,1.467846,-0.378397
5,0.1736483,1.469112,-0.3747913
5,0.1726038,1.470205,-0.3669388
5,0.1761175,1.473368,-0.3585912
5,0.1769363,1.474447,-0.3578478
5,0.1772747,1.474915,-0.3580648
5,0.1771993,1.477033,-0.361338
5,0.1751369,1.479469,-0.3645393
5,0.1742041,1.479054,-0.3659873
5,0.1740047,1.478197,-0.3663686
5,0.1742188,1.478333,-0.3664328
5,0.1740451,1.478281,-0.3666314
5,0.1738938,1.478206,-0.366695
5,0.1733882,1.478239,-0.3673934
5,0.1732024,1.478648,-0.3680954
5,0.1725257,1.47696,-0.3715026
5,0.1688128,1.472993,-0.3860123
5,0.1680478,1.47316,-0.3911692
5,0.167839,1.473818,-0.3921641
5,0.1678464,1.474222,-0.3921187
5,0.1690806,1.475238,-0.3898835
5,0.1691781,1.475165,-0.3897671
5,0.1693399,1.475164,-0.3896545
5,0.1695422,1.475059,-0.3895826
5,0.1702169,1.474546,-0.3892819
5,0.1703561,1.474597,-0.3892519
5,0.1704523,1.474724,-0.3892263
5,0.1704794,1.474827,-0.389238
5,0.1704551,1.474812,-0.3893158
5,0.1704801,1.474868,-0.3893563
5,0.1704814,1.474884,-0.3893353
5,0.1694963,1.474612,-0.389373
5,0.1694468,1.474527,-0.3894469
5,0.1690828,1.473579,-0.3891937
5,0.1691613,1.473352,-0.3890984
