TrajectoryID,x,y,z
20,0.04865894,1.62076,-0.3211278
20,0.04886802,1.620609,-0.3218005
20,0.04927144,1.620369,-0.3222454
20,0.04975067,1.619679,-0.3219923
20,0.0515139,1.61331,-0.3164971
20,0.05559648,1.597684,-0.3042799
20,0.06351251,1.574439,-0.288962
20,0.07186099,1.568298,-0.2762923
20,0.07304478,1.567663,-0.2731026
20,0.07332055,1.565243,-0.269244
20,0.06787977,1.562945,-0.2636891
20,0.06124507,1.557004,-0.2539145
20,0.05376059,1.550603,-0.2405567
20,0.03769471,1.546618,-0.2256108
20,0.01804095,1.538084,-0.1984991
20,-0.01610596,1.523521,-0.1547318
20,-0.05326796,1.517343,-0.1123834
20,-0.05257132,1.514555,-0.08323133
20,-0.001049267,1.501219,-0.008621961
20,0.06899922,1.501127,0.08626917
20,0.08192317,1.501737,0.1176127
20,0.0806734,1.504137,0.1443747
20,0.03657093,1.500381,0.1813188
20,-0.009348322,1.499307,0.2038358
20,-0.03301305,1.498761,0.2133419
20,-0.03533184,1.498761,0.2139601
20,-0.03582315,1.498454,0.2141968
20,-0.03594908,1.498149,0.2143029
20,-0.03591683,1.497951,0.2143911
20,-0.03584931,1.497861,0.2144501
20,-0.03479071,1.497485,0.2143495
20,-0.02340266,1.499363,0.2095238
20,0.01032678,1.50287,0.2038835
20,0.05252742,1.503041,0.2076589
20,0.06390503,1.500214,0.2104047
20,0.06824845,1.500605,0.210403
20,0.0806789,1.500974,0.2040082
20,0.08505476,1.499424,0.2019426
20,0.09028146,1.49745,0.2022759
20,0.09766572,1.498305,0.2004776
20,0.1028216,1.498204,0.2010259
20,0.1062836,1.498324,0.2035898
20,0.1082313,1.497244,0.205157
20,0.1097247,1.497655,0.2077914
20,0.1098839,1.497771,0.2078801
20,0.1098776,1.498192,0.2081919
20,0.1100107,1.498369,0.208376
20,0.1106587,1.499343,0.2091137
20,0.1117063,1.50003,0.2096398
20,0.1196105,1.50158,0.208984
20,0.1261703,1.504078,0.2066891
20,0.1278275,1.504813,0.2033125
20,0.1284226,1.507437,0.195317
20,0.1327994,1.508956,0.1914824
20,0.1352265,1.50896,0.1907134
20,0.1483646,1.503009,0.1967798
20,0.1534648,1.494958,0.2009439
20,0.1548825,1.489412,0.2014929
20,0.1548356,1.487978,0.2005088
20,0.1398956,1.492073,0.1591542
