TrajectoryID,x,y,z
3,-0.2440673,1.547514,-0.229913
3,-0.2787853,1.546858,-0.223524
3,-0.2806922,1.54657,-0.2224526
3,-0.280415,1.546674,-0.2134309
3,-0.2605274,1.546923,-0.185489
3,-0.2417487,1.548384,-0.1744928
3,-0.1478327,1.550131,-0.2080248
3,-0.06142002,1.560286,-0.2429055
3,0.02015897,1.614144,-0.296534
3,0.04708914,1.619949,-0.3257193
3,0.05204076,1.617826,-0.3348736
3,0.05207213,1.617264,-0.3358034
3,0.05182315,1.617088,-0.3360099
3,0.05162188,1.616987,-0.3363747
3,0.05044347,1.617081,-0.3371502
3,0.04547697,1.621996,-0.3377552
3,0.04398853,1.622331,-0.3373057
3,0.04238256,1.62152,-0.3358838
3,0.04178217,1.619694,-0.3330232
3,0.05179062,1.614091,-0.3218965
3,0.1194121,1.606837,-0.3022132
3,0.2822247,1.569662,-0.2738705
3,0.4668892,1.555536,-0.2622631
3,0.5961771,1.545499,-0.2078416
3,0.7488227,1.502632,-0.1128425
3,0.9278364,1.513489,-0.02397911
3,1.05789,1.519154,0.01100294
3,1.223289,1.503943,0.06295519
3,1.371658,1.515698,0.1163039
3,1.433849,1.513495,0.1510478
3,1.437451,1.510488,0.1601
3,1.436114,1.508343,0.1653362
3,1.417958,1.510903,0.1770461
3,1.39729,1.509939,0.1767222
3,1.390482,1.510802,0.1799689
3,1.386515,1.510461,0.1868354
3,1.386918,1.510281,0.188554
3,1.440779,1.506752,0.1983514
3,1.566922,1.49912,0.2098638
3,1.599803,1.504146,0.2029936
3,1.604304,1.506232,0.1956777
3,1.601796,1.507808,0.1872221
3,1.576162,1.504876,0.1661968
3,1.575944,1.502772,0.1622968
3,1.577772,1.502344,0.1581384
3,1.579471,1.503797,0.1568427
3,1.580899,1.503815,0.1559928
3,1.588278,1.50086,0.1549943
3,1.603415,1.500947,0.1607206
3,1.620574,1.498304,0.1699468
3,1.62805,1.498055,0.1737792
3,1.639163,1.495582,0.1758834
3,1.6475,1.493367,0.1804061
3,1.652014,1.493785,0.1808248
3,1.652182,1.494051,0.1805296
3,1.651824,1.495084,0.1791587
3,1.65423,1.49445,0.1710802
3,1.661397,1.495854,0.1626181
3,1.662648,1.495511,0.1614548
3,1.66268,1.495277,0.1608809
3,1.662668,1.495089,0.1607207
3,1.662573,1.495041,0.1603221
3,1.663025,1.497261,0.1577285
3,1.664296,1.499087,0.1547724
3,1.664674,1.4991,0.1538357
3,1.664787,1.499572,0.1528312
3,1.665386,1.499614,0.1517151
3,1.665663,1.499679,0.1515688
3,1.665884,1.499676,0.1512909
3,1.665999,1.499645,0.1506996
3,1.665861,1.499767,0.1499998
3,1.640874,1.504382,0.1457188
3,1.592867,1.503944,0.1520599
3,1.576439,1.504908,0.1579162
3,1.576336,1.504788,0.15834
3,1.576506,1.50463,0.1589171
3,1.576859,1.50471,0.1594197
3,1.577472,1.50532,0.159835
3,1.589155,1.507952,0.1576108
3,1.609176,1.509447,0.1561851
3,1.620613,1.510628,0.153345
3,1.626573,1.510321,0.1515056
3,1.627152,1.510332,0.1512233
3,1.627697,1.510443,0.1504282
3,1.625882,1.510808,0.1497652
3,1.618855,1.511462,0.1494177
3,1.611407,1.51156,0.1478178
3,1.604668,1.511103,0.147309
3,1.597895,1.512073,0.1458666
3,1.592584,1.511678,0.1440535
3,1.584275,1.511691,0.1437618
3,1.582338,1.512236,0.143502
3,1.581577,1.512834,0.1434848
3,1.581494,1.512895,0.1434752
3,1.58143,1.51301,0.143485
3,1.581395,1.513017,0.1435467
3,1.581432,1.513094,0.1436299
3,1.583503,1.513176,0.1454802
3,1.587957,1.512773,0.1481784
3,1.594242,1.51148,0.1490177
3,1.60298,1.510073,0.1493021
3,1.61076,1.508328,0.1485448
3,1.618252,1.507117,0.1474176
3,1.6291,1.50614,0.1459883
3,1.641566,1.505282,0.1446953
3,1.652383,1.50413,0.1443828
3,1.659475,1.501814,0.1446557
3,1.663304,1.501621,0.1434954
3,1.666529,1.501169,0.1430652
3,1.67786,1.499015,0.143813
3,1.692863,1.497989,0.1425838
3,1.694151,1.498078,0.1421046
3,1.694405,1.49824,0.1418523
3,1.694364,1.498286,0.14159
3,1.690241,1.500239,0.1392472
3,1.685727,1.50175,0.1378271
3,1.683243,1.502539,0.136806
3,1.680761,1.503548,0.1369777
3,1.678257,1.504282,0.1377241
3,1.676397,1.504466,0.1384704
3,1.674938,1.50479,0.1395371
3,1.674263,1.504756,0.1401554
3,1.674405,1.50467,0.1404145
3,1.674381,1.504619,0.1405693
3,1.674466,1.504547,0.1406271
3,1.674459,1.504586,0.140695
