TrajectoryID,x,y,z
26,-0.1556906,1.621864,-0.2059757
26,-0.1565574,1.62131,-0.2050953
26,-0.1573244,1.620888,-0.2043223
26,-0.1584336,1.620536,-0.2035427
26,-0.1597733,1.61991,-0.2025674
26,-0.1612612,1.61881,-0.201113
26,-0.1627551,1.617145,-0.199055
26,-0.1642787,1.61529,-0.1966842
26,-0.1659109,1.612381,-0.1940846
26,-0.1681061,1.608167,-0.1907223
26,-0.1706537,1.602959,-0.1871377
26,-0.1732024,1.597373,-0.1841035
26,-0.1756155,1.591451,-0.1806441
26,-0.177361,1.586459,-0.1769482
26,-0.178715,1.582414,-0.1732904
26,-0.179023,1.581047,-0.1699656
26,-0.1785763,1.580512,-0.1673789
26,-0.177869,1.580502,-0.1651852
26,-0.1773853,1.580653,-0.1624548
26,-0.1769052,1.579842,-0.1587958
26,-0.1768409,1.578945,-0.1537992
26,-0.1780122,1.577231,-0.1447425
26,-0.180575,1.57388,-0.1326735
26,-0.1849433,1.571324,-0.1157597
26,-0.1916452,1.568565,-0.09322043
26,-0.2016585,1.565829,-0.06529178
26,-0.2164604,1.561104,-0.03234391
26,-0.2383854,1.556357,0.00270279
26,-0.2663592,1.56027,0.04200547
26,-0.284127,1.557966,0.06591664
26,-0.3043514,1.556653,0.09550056
26,-0.3168852,1.559522,0.1167385
26,-0.3269639,1.563862,0.1365046
26,-0.3341164,1.565785,0.1518518
26,-0.3385017,1.566994,0.1650918
26,-0.3409247,1.569188,0.1831819
26,-0.3387169,1.568994,0.1983358
26,-0.3338307,1.568415,0.2137674
26,-0.3275847,1.566744,0.2261164
26,-0.3209786,1.568561,0.2352756
26,-0.3154737,1.568215,0.242599
26,-0.3117122,1.567845,0.2498432
26,-0.3089552,1.566149,0.2551258
26,-0.3059681,1.565908,0.2577996
26,-0.3038285,1.565949,0.2580455
26,-0.3011791,1.56604,0.2584236
26,-0.2983292,1.566294,0.2585129
26,-0.2955824,1.566576,0.2582366
26,-0.2914654,1.567223,0.2579535
26,-0.2832734,1.567653,0.2582526
26,-0.273168,1.568343,0.2591129
26,-0.2608082,1.569536,0.2603009
26,-0.2463955,1.571054,0.2614426
26,-0.2301425,1.572428,0.2631088
26,-0.2094042,1.57351,0.2668921
26,-0.189117,1.573298,0.271641
26,-0.1706965,1.57236,0.2763331
26,-0.1547784,1.570651,0.280539
26,-0.1425182,1.569036,0.2847371
26,-0.1328935,1.567411,0.2881147
26,-0.1258381,1.566175,0.2906367
26,-0.1212525,1.565008,0.2920592
26,-0.1178622,1.564477,0.2930884
26,-0.1157945,1.564501,0.2944065
26,-0.1149643,1.564275,0.2965343
26,-0.1148048,1.563746,0.2986538
26,-0.1149254,1.563489,0.3010608
26,-0.1153611,1.563307,0.3024545
26,-0.1156644,1.563266,0.3028081
26,-0.1172721,1.563439,0.3030847
26,-0.1196137,1.563596,0.3028297
26,-0.1229132,1.563814,0.302804
26,-0.1273472,1.563997,0.3028445
26,-0.132774,1.564238,0.3032625
26,-0.1378918,1.564471,0.3033067
26,-0.1443472,1.564622,0.3025591
26,-0.1536062,1.565875,0.3001673
26,-0.1702749,1.567945,0.2975888
26,-0.1872116,1.567724,0.2977804
26,-0.2049745,1.566378,0.2989624
26,-0.2216621,1.56605,0.299547
26,-0.2337833,1.566944,0.2997778
26,-0.2419393,1.566888,0.2990031
26,-0.2453205,1.566667,0.2978383
26,-0.2479701,1.567264,0.2968141
26,-0.2504548,1.566969,0.2967479
26,-0.2537491,1.566763,0.2965603
26,-0.2558157,1.566975,0.2959959
26,-0.2568939,1.567416,0.2956234
26,-0.2569171,1.567551,0.2955958
26,-0.2567653,1.567836,0.295567
26,-0.2566727,1.567896,0.2956346
