TrajectoryID,x,y,z
18,0.723145,1.554228,-0.3261787
18,0.7258089,1.536397,-0.3140379
18,0.7292187,1.524901,-0.3017308
18,0.7315296,1.523583,-0.2942122
18,0.7326591,1.524082,-0.2881349
18,0.7339876,1.523576,-0.2826599
18,0.7342085,1.523211,-0.2775303
18,0.7338529,1.522771,-0.2726983
18,0.7319425,1.522733,-0.2693571
18,0.728553,1.526149,-0.2674551
18,0.7252776,1.529033,-0.2667634
18,0.7201817,1.530398,-0.2677494
18,0.7124475,1.528276,-0.2697955
18,0.7040567,1.526564,-0.2705086
18,0.7000616,1.52624,-0.2700248
18,0.692655,1.524428,-0.2641162
18,0.6869177,1.521957,-0.2533283
18,0.6820291,1.520921,-0.2367429
18,0.6788396,1.517639,-0.2147634
18,0.6768411,1.513409,-0.1865583
18,0.6774765,1.506598,-0.153139
18,0.6797827,1.500032,-0.1153186
18,0.6800647,1.501544,-0.07045162
18,0.67966,1.497398,-0.02885857
18,0.6729624,1.498958,0.02754196
18,0.6496882,1.503782,0.08248594
18,0.5973415,1.492056,0.1406982
18,0.5365258,1.490487,0.1731058
18,0.5109666,1.484984,0.1885225
18,0.4951504,1.482637,0.1994346
18,0.48541,1.481649,0.2062825
18,0.4795602,1.480046,0.2114154
18,0.4787947,1.480206,0.2128534
18,0.4788774,1.480503,0.2133799
18,0.4798263,1.482042,0.2142608
18,0.4820634,1.483871,0.2145469
18,0.4877687,1.486775,0.2116332
18,0.4903091,1.491236,0.208064
18,0.4905145,1.491438,0.2078198
18,0.4907748,1.49156,0.2078189
18,0.4913252,1.491495,0.2071778
18,0.4935771,1.489951,0.2061875
18,0.497611,1.48956,0.2048081
18,0.5036751,1.489915,0.2037603
18,0.5085923,1.490659,0.2001819
18,0.5116293,1.4925,0.1948554
18,0.5122409,1.493945,0.1889268
18,0.5104965,1.494505,0.1841927
18,0.5075934,1.494105,0.1804806
18,0.5051566,1.492787,0.1777725
18,0.5045456,1.49238,0.1760454
18,0.5057348,1.492675,0.1734182
18,0.5083067,1.493287,0.170748
18,0.5118177,1.493582,0.16899
18,0.5169812,1.493694,0.1673649
18,0.5237483,1.494649,0.1660385
18,0.5297835,1.496309,0.165497
18,0.5337168,1.496467,0.1646468
18,0.535914,1.495636,0.1635157
18,0.5369512,1.495331,0.1626321
18,0.5389604,1.493841,0.161504
18,0.5433738,1.492689,0.1592407
18,0.5489231,1.493654,0.1565943
18,0.5551423,1.494716,0.1546559
18,0.5604318,1.494399,0.1537451
18,0.5666125,1.494062,0.1537002
18,0.5705754,1.493155,0.1546319
18,0.5723732,1.492352,0.1564428
18,0.5733256,1.491862,0.1589052
18,0.572925,1.492519,0.1619739
18,0.570489,1.492701,0.1651005
18,0.5653468,1.492565,0.1686332
18,0.5549229,1.491555,0.1796047
18,0.5513335,1.490814,0.1871576
18,0.5507215,1.490402,0.1888077
18,0.5512899,1.491303,0.1923396
18,0.5576651,1.491154,0.1988071
18,0.5580002,1.48943,0.2026864
18,0.5578891,1.48838,0.2031986
18,0.5573934,1.488991,0.2015356
18,0.5571444,1.489153,0.2012157
18,0.5568529,1.489265,0.1999947
18,0.5575185,1.490344,0.1982092
18,0.5578896,1.490283,0.1973886
18,0.5579638,1.490901,0.1961446
18,0.5574988,1.491208,0.1955744
18,0.5424174,1.490475,0.1924484
18,0.5235021,1.488359,0.1920861
18,0.512868,1.487934,0.1936071
18,0.5055297,1.487503,0.1948127
18,0.4944268,1.486543,0.194965
18,0.4848859,1.485716,0.1953343
18,0.4834799,1.48527,0.1950891
18,0.4831164,1.485091,0.1946432
18,0.4829136,1.485348,0.1926071
18,0.4831528,1.4863,0.1913683
18,0.478512,1.487948,0.191795
18,0.4701239,1.486959,0.1940594
18,0.4185001,1.467244,0.1838809
18,0.2919775,1.451738,0.1719763
18,0.1690636,1.43202,0.1803546
18,0.07124567,1.431022,0.1950146
18,0.01612968,1.42385,0.2011206
18,-0.007374447,1.424152,0.204359
18,-0.008331148,1.424597,0.2036321
18,0.002153771,1.432326,0.1959274
18,0.02245792,1.44147,0.1878523
18,0.04153452,1.445295,0.1876193
18,0.05634387,1.448876,0.1898873
18,0.07019012,1.451273,0.1932001
18,0.07777136,1.4507,0.1962725
18,0.08169094,1.450814,0.2000952
18,0.08179922,1.450706,0.2038343
18,0.07973798,1.449284,0.2078836
18,0.07745866,1.447765,0.2117829
18,0.07573193,1.447414,0.2150717
18,0.07463674,1.447526,0.2172584
18,0.07419568,1.447642,0.2176981
18,0.07274999,1.44776,0.2181326
18,0.07016545,1.448108,0.2186951
18,0.06772862,1.447749,0.2189401
18,0.06539034,1.447493,0.218243
18,0.06362663,1.447811,0.2169405
18,0.06271954,1.448824,0.2141594
18,0.06375469,1.450261,0.2100224
18,0.06636796,1.451322,0.2049318
18,0.07133976,1.453594,0.1981801
18,0.07840912,1.457127,0.1909545
18,0.08577207,1.460034,0.1842633
18,0.09473734,1.462146,0.1768315
18,0.1061293,1.464157,0.1675399
18,0.1210306,1.467224,0.1566255
18,0.1393577,1.471233,0.1446238
18,0.1614296,1.474813,0.1304352
18,0.1868163,1.476217,0.1147317
18,0.2164741,1.477863,0.09859622
18,0.2512477,1.481957,0.08371836
18,0.2881674,1.485587,0.07199843
18,0.3296039,1.484597,0.06133683
18,0.3665507,1.482703,0.05134857
18,0.397037,1.485241,0.04157089
18,0.4209124,1.488325,0.03063728
18,0.4410074,1.489684,0.01642489
18,0.4541921,1.489327,0.001371742
18,0.460978,1.486951,-0.01477535
18,0.4618859,1.484414,-0.03536642
18,0.4564478,1.482582,-0.05858987
18,0.4460535,1.480665,-0.08603495
18,0.4335629,1.482155,-0.118623
18,0.4213052,1.489346,-0.1554333
18,0.4115332,1.496127,-0.1912916
18,0.4071951,1.502507,-0.2210278
18,0.4129378,1.516298,-0.247407
18,0.4285548,1.543376,-0.2685461
18,0.4523724,1.581549,-0.2889602
18,0.4731468,1.598531,-0.3078154
