TrajectoryID,x,y,z
10,-0.1750396,1.578133,-0.6583475
10,-0.1854191,1.556155,-0.6472796
10,-0.1875301,1.554375,-0.6463158
10,-0.1908935,1.554489,-0.6446338
10,-0.1953547,1.551541,-0.6445025
10,-0.1957554,1.551333,-0.6444983
10,-0.1960147,1.551373,-0.6445276
10,-0.196372,1.55176,-0.6448267
10,-0.1965199,1.551697,-0.6448671
10,-0.1967029,1.550546,-0.6443524
10,-0.1966669,1.550028,-0.6443401
10,-0.1965501,1.549601,-0.6441439
10,-0.1964519,1.549626,-0.6440257
10,-0.1962516,1.549793,-0.6440356
10,-0.1952398,1.550137,-0.6450182
10,-0.1937316,1.549785,-0.6458608
10,-0.1931428,1.549308,-0.646075
10,-0.1922227,1.548043,-0.6456214
10,-0.1922427,1.547899,-0.6453209
10,-0.1923451,1.547721,-0.6453366
10,-0.1927125,1.546875,-0.6436826
10,-0.1930036,1.546458,-0.6424333
10,-0.1929546,1.546375,-0.6423085
10,-0.1929046,1.546292,-0.6422638
10,-0.192834,1.546294,-0.6421808
10,-0.1926843,1.546417,-0.6420677
10,-0.1926248,1.546539,-0.6420595
10,-0.1926207,1.546622,-0.6420979
10,-0.196029,1.547687,-0.6423402
10,-0.2140923,1.556065,-0.6424916
10,-0.2267552,1.56489,-0.6491249
10,-0.2337655,1.565642,-0.6564456
10,-0.2334835,1.565973,-0.6572229
10,-0.2325992,1.566135,-0.657595
10,-0.2248204,1.5639,-0.6535739
10,-0.1963852,1.560888,-0.6314598
10,-0.1913343,1.553088,-0.618185
10,-0.1931547,1.550774,-0.61247
10,-0.1991952,1.549303,-0.6081394
10,-0.2201471,1.543127,-0.6082978
10,-0.2964613,1.544018,-0.6325573
10,-0.41823,1.544609,-0.6633668
10,-0.4495597,1.552366,-0.6572559
10,-0.4836859,1.546283,-0.6397506
10,-0.5007951,1.541284,-0.6166695
10,-0.5076641,1.54221,-0.5889248
10,-0.5213369,1.521285,-0.5213515
10,-0.5229331,1.523201,-0.4734286
10,-0.5349334,1.523993,-0.454202
