TrajectoryID,x,y,z
12,-0.02759871,1.553449,-0.2627425
12,-0.0266656,1.552175,-0.2609243
12,-0.02637912,1.551989,-0.2605481
12,-0.02631303,1.551669,-0.2604169
12,-0.02313616,1.550304,-0.2592449
12,-0.01791779,1.54824,-0.257044
12,-0.007196559,1.547635,-0.2556508
12,0.007532498,1.544802,-0.2552387
12,0.02555227,1.539578,-0.2585642
12,0.03504961,1.530429,-0.2642633
12,0.03754568,1.524884,-0.2667654
12,0.03746967,1.520802,-0.267175
12,0.03536277,1.518151,-0.2664906
12,0.03416631,1.517936,-0.2657961
12,0.02034819,1.523162,-0.2545497
12,0.004871479,1.532023,-0.2460658
12,-0.005320314,1.542548,-0.2460622
12,-0.02077506,1.554229,-0.2513068
12,-0.03484948,1.570567,-0.2631315
12,-0.03885423,1.575012,-0.2668122
12,-0.04079682,1.575279,-0.2701069
12,-0.03968772,1.576048,-0.274052
12,-0.0283084,1.579838,-0.2847313
12,0.000577854,1.580373,-0.2949381
12,0.04385096,1.581172,-0.2959617
12,0.08371697,1.575948,-0.297612
12,0.1009686,1.569463,-0.301645
12,0.1051174,1.551096,-0.3087163
12,0.1055821,1.550856,-0.3093472
12,0.1061556,1.551137,-0.309576
12,0.1061985,1.551675,-0.3095965
12,0.07945874,1.552031,-0.2958638
12,0.004932597,1.543362,-0.2574655
12,-0.1175716,1.537117,-0.2362267
12,-0.2304813,1.53347,-0.1879175
12,-0.3342318,1.506717,-0.09053111
12,-0.4251364,1.539822,-9.718258e-05
12,-0.5037054,1.559053,0.02270847
12,-0.515463,1.580661,0.02598147
12,-0.5233774,1.618699,0.009621743
12,-0.52503,1.624746,-0.0003988435
12,-0.532972,1.623757,-0.01904895
12,-0.5954777,1.624621,-0.05774211
12,-0.637075,1.623419,-0.07116571
12,-0.6492437,1.621073,-0.07797109
12,-0.6570489,1.623681,-0.08342046
12,-0.6761045,1.62137,-0.08968335
12,-0.7033075,1.616246,-0.08357215
12,-0.7268342,1.605884,-0.06412774
12,-0.7410209,1.577973,-0.04076327
12,-0.7497262,1.547668,-0.02913912
12,-0.7553502,1.530395,-0.01946057
12,-0.7522452,1.527468,-0.01421668
12,-0.746178,1.528775,-0.006677752
12,-0.7311227,1.517801,0.03936286
12,-0.7275952,1.507345,0.104474
12,-0.7365987,1.502737,0.1311259
12,-0.7577574,1.495687,0.1505627
12,-0.7585207,1.495171,0.1540518
12,-0.7581,1.495192,0.1555584
12,-0.7569731,1.495267,0.1563946
12,-0.7535654,1.496677,0.1568566
12,-0.7499418,1.499051,0.1554715
12,-0.7477673,1.500319,0.153232
12,-0.7470883,1.500437,0.1518442
12,-0.7502587,1.500545,0.1417183
12,-0.7553357,1.499905,0.1380814
12,-0.7581973,1.498425,0.1372628
12,-0.7606399,1.49839,0.1370544
12,-0.7610835,1.497975,0.1367893
12,-0.7814113,1.493755,0.1454434
12,-0.8140458,1.489492,0.1471907
12,-0.8178847,1.489337,0.1465405
12,-0.818299,1.489469,0.1457465
12,-0.8183808,1.489756,0.1454722
12,-0.8181797,1.490109,0.1451102
12,-0.8179768,1.490187,0.1447819
12,-0.8163627,1.489938,0.1421017
12,-0.8149271,1.490431,0.1403337
12,-0.8194435,1.495262,0.1327656
12,-0.8195899,1.494741,0.1327805
12,-0.8008263,1.499991,0.1519509
12,-0.702855,1.508898,0.2527673
12,-0.6242342,1.510446,0.3074601
12,-0.5937043,1.516283,0.3021988
12,-0.5903469,1.51922,0.2971957
12,-0.59121,1.518854,0.290781
12,-0.6118324,1.514422,0.2703454
12,-0.6154089,1.511436,0.2668169
12,-0.6167821,1.50666,0.2650093
12,-0.6171489,1.504914,0.2654348
12,-0.6108685,1.491145,0.2833383
12,-0.6088029,1.488505,0.2868308
12,-0.6060481,1.4878,0.2901394
12,-0.6008062,1.489534,0.2950198
12,-0.5985457,1.48829,0.298396
12,-0.5984969,1.487895,0.2993087
12,-0.5988544,1.487983,0.299632
12,-0.5993392,1.488271,0.2997151
12,-0.6074786,1.491351,0.2928537
12,-0.6108002,1.491747,0.2897353
12,-0.6111785,1.492311,0.2892577
12,-0.6067978,1.504221,0.2821946
12,-0.6039674,1.511768,0.2754392
12,-0.6032219,1.513385,0.2713123
12,-0.6030469,1.51264,0.2675111
12,-0.6003358,1.516134,0.2614042
12,-0.6016471,1.5192,0.2555661
12,-0.6052607,1.521422,0.2538736
12,-0.6060743,1.521355,0.2534731
12,-0.6067998,1.521287,0.2534563
12,-0.6073619,1.521415,0.2537758
12,-0.6075902,1.521594,0.2542036
12,-0.5999712,1.521173,0.2622766
12,-0.5956954,1.520671,0.2658961
12,-0.5953263,1.520021,0.2672534
12,-0.5954673,1.519894,0.2676749
12,-0.6003172,1.518674,0.2686813
12,-0.602291,1.518435,0.2690961
12,-0.6041765,1.517838,0.2714277
12,-0.6049622,1.517484,0.2726412
12,-0.6050417,1.517517,0.2730346
12,-0.6052579,1.5172,0.27365
12,-0.6052686,1.517161,0.2740331
12,-0.6051627,1.517161,0.2740015
