TrajectoryID,x,y,z
23,0.005638753,1.624075,-0.1858993
23,0.007173535,1.62344,-0.1843456
23,0.007422179,1.62183,-0.179522
23,0.004499828,1.619379,-0.1727455
23,-0.0004345821,1.616022,-0.165215
23,-0.006247597,1.610206,-0.1565376
23,-0.01286335,1.602034,-0.1465327
23,-0.0197187,1.590708,-0.1349204
23,-0.0247995,1.576803,-0.1236546
23,-0.02544145,1.574073,-0.1189883
23,-0.02335713,1.574155,-0.1073369
23,-0.01696525,1.573047,-0.09336346
23,-0.007927796,1.568836,-0.07881904
23,-0.002814,1.567828,-0.06033795
23,-0.008203203,1.568191,-0.03434342
23,-0.02475186,1.565551,-0.006021061
23,-0.05409653,1.569701,0.02177711
23,-0.07895328,1.571241,0.04659136
23,-0.0997904,1.569603,0.07010404
23,-0.1153768,1.56656,0.0925775
23,-0.1220896,1.566807,0.1099022
23,-0.122296,1.567745,0.1215108
23,-0.122077,1.567463,0.1221256
23,-0.1201625,1.568326,0.1247489
23,-0.1172175,1.570385,0.1266522
23,-0.1112625,1.571012,0.1292733
23,-0.109328,1.570955,0.1300779
23,-0.1088851,1.570676,0.1301216
23,-0.1087714,1.570548,0.1300595
23,-0.1087053,1.570214,0.1295593
23,-0.1089827,1.570087,0.1288732
23,-0.1122146,1.5709,0.125659
23,-0.1150871,1.571418,0.1234531
23,-0.1159791,1.571325,0.1231427
23,-0.1168274,1.570712,0.1230974
23,-0.1169573,1.570632,0.1229698
23,-0.1177577,1.570484,0.1227352
23,-0.1178206,1.570402,0.1227195
23,-0.1178072,1.57034,0.1227266
23,-0.1164638,1.570536,0.1228211
23,-0.1101199,1.570935,0.1237925
23,-0.1047325,1.571873,0.1254855
23,-0.1013897,1.571825,0.1258288
23,-0.09690202,1.571228,0.1244844
23,-0.09273475,1.571809,0.1217429
23,-0.08818008,1.571962,0.119499
23,-0.08377282,1.571472,0.1197667
23,-0.07928304,1.571423,0.1198067
23,-0.07172535,1.571157,0.1185426
23,-0.06287596,1.571579,0.117437
23,-0.05421335,1.571324,0.1182423
23,-0.04880132,1.571119,0.11936
23,-0.04858156,1.571007,0.1193861
23,-0.0485333,1.570964,0.1193616
23,-0.04841336,1.570892,0.1192009
23,-0.04852133,1.570868,0.118957
23,-0.04865548,1.571001,0.1186744
23,-0.0487244,1.571201,0.1185649
23,-0.04962554,1.571943,0.1182346
23,-0.04985462,1.571965,0.1181733
23,-0.05017969,1.572045,0.1183503
23,-0.0502247,1.572025,0.1184428
23,-0.05016981,1.572025,0.1185382
23,-0.05032402,1.571894,0.1187658
23,-0.0503147,1.571854,0.118841
23,-0.05030125,1.571891,0.1189499
23,-0.05029776,1.571872,0.1190214
23,-0.05031394,1.571795,0.1191168
23,-0.05032682,1.571661,0.1191112
23,-0.05021682,1.571571,0.1190555
23,-0.05008535,1.571463,0.1191871
23,-0.05001461,1.571426,0.1191618
23,-0.04980383,1.571676,0.11925
23,-0.04956478,1.5724,0.1190698
23,-0.04980347,1.572812,0.1191829
23,-0.05019227,1.572865,0.1192233
23,-0.05275534,1.571314,0.1211107
23,-0.05524179,1.569969,0.1223633
23,-0.0565819,1.569439,0.1231062
23,-0.0566896,1.569385,0.1232786
23,-0.05781159,1.569083,0.123482
23,-0.05879327,1.568631,0.1232034
23,-0.05990621,1.569307,0.1212042
23,-0.06108291,1.570457,0.1175678
23,-0.06113631,1.571477,0.1138617
23,-0.05858657,1.572286,0.1113468
23,-0.05427931,1.573607,0.1093168
23,-0.05083989,1.5757,0.1070554
23,-0.04717566,1.576758,0.1038124
23,-0.04165229,1.577556,0.09789723
23,-0.03322972,1.579214,0.08959982
23,-0.02131614,1.58085,0.07890649
23,-0.0007013809,1.58403,0.06592833
23,0.02261777,1.585728,0.05369389
23,0.04667399,1.586047,0.04194344
23,0.06914404,1.585654,0.03242167
23,0.0906109,1.584748,0.02332402
23,0.1072565,1.58229,0.01421226
23,0.115051,1.577918,0.003452419
23,0.1125466,1.573452,-0.01452551
23,0.1011038,1.572521,-0.03534102
23,0.08000804,1.573042,-0.05548413
23,0.0680452,1.577801,-0.06151236
23,0.04490031,1.572518,-0.069921
23,0.02972895,1.570953,-0.07700528
23,0.02528491,1.572422,-0.08100161
23,0.02433908,1.573149,-0.08443012
23,0.02516809,1.57428,-0.08741944
23,0.02743257,1.575968,-0.08899192
23,0.03607884,1.578164,-0.0891196
23,0.0479135,1.581582,-0.08821577
23,0.06289937,1.584954,-0.08736301
23,0.078949,1.585441,-0.08683053
23,0.09314267,1.585569,-0.08684139
23,0.1078067,1.585171,-0.08667748
23,0.1171965,1.585502,-0.0862333
23,0.1244914,1.585323,-0.08503371
23,0.1300567,1.585398,-0.08274904
23,0.1335151,1.585583,-0.08041165
23,0.1365955,1.585608,-0.07813162
23,0.1391489,1.586375,-0.07696318
23,0.1420605,1.587884,-0.07614426
23,0.144949,1.589284,-0.07535203
23,0.1492343,1.589528,-0.07484753
23,0.1548835,1.589708,-0.07450622
23,0.1613214,1.591234,-0.0750275
23,0.1688744,1.592387,-0.07555501
23,0.1755048,1.592782,-0.07517574
23,0.1810673,1.593769,-0.07415861
23,0.1853675,1.594343,-0.07276079
23,0.1882154,1.594613,-0.07159652
23,0.1900395,1.594781,-0.07062688
23,0.191031,1.594431,-0.0696976
23,0.19319,1.593622,-0.06882717
23,0.1958104,1.593238,-0.0683327
23,0.1980412,1.592525,-0.06738795
23,0.1990576,1.592331,-0.06690525
23,0.1994229,1.592457,-0.06656252
23,0.1996013,1.592462,-0.06652258
23,0.1996752,1.592406,-0.06639161
23,0.1997271,1.592437,-0.06634027
23,0.1997334,1.592377,-0.06630235
23,0.1997189,1.592426,-0.06619261
23,0.1997383,1.592431,-0.06613921
23,0.1997267,1.592399,-0.06609598
23,0.1997484,1.592373,-0.06605503
23,0.1997814,1.592334,-0.0660352
23,0.1997773,1.592329,-0.06606225
23,0.1998986,1.592284,-0.06611413
23,0.1999052,1.592232,-0.0661389
23,0.1998897,1.592224,-0.06611805
23,0.1998793,1.592256,-0.06610297
23,0.1999002,1.592212,-0.06611255
